AccSpeciesName,Unnamed: 0,OrigValueStr
Acacia jennerae,148908,0
Acacia johnwoodii,149399,0
Acacia jonesii,140110,1
Acacia jucunda,140111,1
Acacia juncifolia,149400,0
Acacia juniperina,148909,0
Acacia karroo,25266,0.857142857
Acacia kempeana,41847.66667,1
Acacia kettlewelliae,148910,0
Acacia koa,57254.4,1
Acacia koaia,149402,0
Acacia kosiensis,149403,0
Acacia kybeanensis,140112,0
Acacia laccata,148911,0
Acacia lamprocarpa,4158,1
Acacia lanigera,148912,0
Acacia lasiocalyx,148913,0
Acacia latescens,4159,1
Acacia latisepala,148915,0
Acacia latzii,41849.66667,1
Acacia legnota,148917,0
Acacia leiocalyx,148918,0
Acacia leiophylla,148919,0
Acacia leprosa,148920,0
Acacia leptocarpa,148921,0
Acacia leptoclada,148922,0
Acacia leptopetala,142365,0
Acacia leptospermoides,140113,1
Acacia leptostachya,158372,1
Acacia leucoclada,148923,0
Acacia leucophylla,149404,0
Acacia ligulata,62454.16667,0.833333333
Acacia linearifolia,32865.75,1
Acacia lineata,65703,1
Acacia linifolia,140115,0
Acacia littorea,142366,0
Acacia loderi,155047,0
Acacia longifolia,57968.57143,1
Acacia longispinea,148924,0
Acacia longissima,65161,1
Acacia lunata,155048,0
Acacia lutea,149405,0
Acacia lysiphloia,148925,0
Acacia mabellae,148926,0
Acacia macnuttiana,148927,0
Acacia maconochieana,148928,0
Acacia macracantha,95686,0
Acacia macradenia,155049,0
Acacia maidenii,148929,0
Acacia maitlandii,41857.66667,1
Acacia mangium,119023.2667,0.988888889
Acacia matthewii,145217,0
Acacia mearnsii,85614.75,1
Acacia melanoxylon,39084.47368,0.631578947
Acacia melvillei,155050,0
Acacia merrallii,148934,0
Acacia microbotrya,148935,0
Acacia microcarpa,148936,0
Acacia mimula,75149.19048,1
Acacia minutifolia,41864.33333,1
Acacia mitchellii,148938,0
Acacia mollifolia,148939,0
Acacia mollissima,149407,0
Acacia montana,148940,0
Acacia monticola,41865.33333,1
Acacia mountfordiae,4189,1
Acacia muelleriana,66588.25,1
Acacia multisiliqua,4193,1
Acacia multispicata,148942,0
Acacia murrayana,41868.66667,1
Acacia mutabilis,140117,1
Acacia myrtifolia,49483,1
Acacia neovernicosa,148944,0
Acacia neriifolia,143678,0
Acacia nervosa,155051,0
Acacia neurophylla,148945,0
Acacia nilotica,123060.7059,1
Acacia nilotica subsp. adansonii,149618,0
Acacia nodiflora,148947,0
Acacia notabilis,148948,0
Acacia obliquinervia,148949,0
Acacia obtusata,148950,0
Acacia obtusifolia,153736.5,0.5
Acacia olgana,148952,1
Acacia oncinocarpa,4199,1
Acacia ophiolithica,148953,0
Acacia oraria,148954,0
Acacia orites,43285,1
Acacia oshanesii,148955,0
Acacia oswaldii,34796,1
Acacia oxycedrus,26444.6,1
Acacia pachycarpa,148956,0
Acacia pachyceras var. najdensis,145229,0
Acacia paniculata,145222,0
Acacia papyrocarpa,148957,0
Acacia paradoxa,65191.2,1
Acacia parramattensis,148958,0
Acacia parvipinnula,153689.5,0.5
Acacia pellita,148960,0
Acacia pendula,148961,1
Acacia pennata,74094.33333,0
Acacia penninervis,66273.83333,1
Acacia pentadenia,155053,0
Acacia pervillei,148963,0
Acacia peuce,148964,0
Acacia phaeocalyx,148965,0
Acacia phasmoides,148966,0
Acacia pilligaensis,148967,0
Acacia platycarpa,41878.33333,1
Acacia plectocarpa,4214,1
Acacia plicata,148970,0
Acacia podalyriifolia,149367.5,0
Acacia polyacantha,95571,0.5
Acacia polybotrya,148971,0
Acacia polystachya,148972,0
