plot_id,,year,longitude,latitude,Biome,info_coverage,leaf_habit,sum_dbh,sum_tpd,num_ind
p651129,0,1998,-135.50910000000013,59.28220000000007,Tundra,1.0,100.0,1101.09,624.3119399999998,42
p651130,0,1998,-135.36219999999986,59.26987000000005,Tundra,1.0,100.0,1620.2659999999996,758.0930699999999,51
p651131,0,1998,-136.12380000000002,59.33087999999999,Tundra,1.0,100.0,824.7379999999998,549.9890899999998,37
p651133,0,1998,-135.7863,59.28824,Tundra,1.0,100.0,279.4,74.32285,5
p651142,0,1999,-150.90740000000002,59.99828000000001,Boreal forests or taiga,1.0,90.2512563,188.976,148.64570000000003,10
p651145,0,2001,-151.6968,59.9652,Boreal forests or taiga,1.0,2.512563,24.13,14.86457,1
p651146,0,2001,-151.6096,59.96786,Boreal forests or taiga,1.0,35.00837533333333,72.64399999999999,44.593709999999994,3
p651148,0,2001,-151.4222,59.95906,Boreal forests or taiga,1.0,100.0,12.954,14.86457,1
p651149,0,1999,-150.9121,59.94435000000001,Boreal forests or taiga,1.0,100.0,51.816,44.593709999999994,3
p651150,0,1999,-150.8117,59.94819,Boreal forests or taiga,1.0,35.00837533333333,134.62,89.18741999999999,6
p651152,0,2001,-151.6974,59.92099000000001,Boreal forests or taiga,1.0,35.00837533333333,124.206,89.18741999999999,6
p651153,0,2001,-151.6145,59.91826999999999,Boreal forests or taiga,1.0,51.25628149999999,176.27599999999998,118.91656,8
p651154,0,2001,-151.4211,59.91976,Boreal forests or taiga,1.0,51.2562815,50.038000000000004,29.72914,2
p651155,0,2001,-151.3398,59.91504000000001,Boreal forests or taiga,1.0,100.0,18.034,14.86457,1
p651157,0,1999,-151.0911,59.91731,Boreal forests or taiga,1.0,100.0,12.7,14.86457,1
p651160,0,2001,-151.6957,59.87896,Boreal forests or taiga,1.0,100.0,152.654,104.05199,7
p651166,0,2001,-151.7916,59.837590000000006,Boreal forests or taiga,1.0,83.75209383333333,103.632,89.18741999999999,6
p651171,0,2001,-151.78099999999995,59.79886999999998,Boreal forests or taiga,1.0,87.814070375,165.608,118.91656,8
p6512,0,2002,151.1816999999998,-23.960409999999968,Tropical grasslands,1.0,99.4588746753247,2136.0,154.0,77
p651241,0,1995,-135.8157,57.94759000000001,Tundra,1.0,100.0,229.362,133.78113000000002,9
p651295,0,1995,-135.15270000000004,57.624960000000016,Tundra,1.0,100.0,588.7719999999999,496.15020000000015,21
p6513,0,2006,-66.23091999999998,-17.282469999999996,Tropical dry broadleaf forests,1.0,88.88889,267.0,473.33676000000014,13
p651420,0,1997,-133.1945999999999,57.26163999999999,Temperate conifer forests,1.0,100.0,972.058,639.1765099999999,43
p651458,0,2001,-149.82999999999996,60.95401999999997,Tundra,1.0,100.0,1074.674,535.1245200000001,36
p651467,0,2002,-148.872,60.87922000000002,Tundra,1.0,100.0,927.608,689.38961,34
p651482,0,2001,-149.8658,60.785140000000006,Tundra,1.0,100.0,243.078,148.64570000000003,10
p651486,0,2001,-148.9753,60.75715,Tundra,1.0,100.0,86.868,74.32285,5
p651489,0,2001,-148.99859999999995,60.66702,Tundra,1.0,100.0,148.59,148.64570000000003,10
p651490,0,2001,-149.95079999999996,60.65146000000003,Tundra,1.0,100.0,654.05,689.38961,34
p651505,0,2001,-149.36529999999996,60.41554999999999,Tundra,1.0,45.60724303846154,544.068,754.4672799999997,26
p651509,0,2001,-149.98979999999997,60.39629000000001,Tundra,1.0,90.50417016666664,369.06199999999995,267.56226000000004,18
p651522,0,2001,-149.8176,60.307,Tundra,1.0,100.0,154.94,89.18741999999999,6
p651530,0,1999,-149.40530000000004,60.20905999999998,Tundra,1.0,100.0,1383.792,564.8536599999999,38
p651531,0,1999,-149.24339999999987,60.201399999999936,Tundra,1.0,100.0,1954.784,1586.8832000000002,82
p651547,0,1998,-133.69590000000002,58.51383000000001,Tundra,1.0,68.51132476190477,963.9299999999997,312.15597000000014,21
p651552,0,1997,-133.6999999999999,58.24398999999998,Tundra,1.0,100.0,1113.79,713.4993599999999,48
p651564,0,2002,-150.45080000000004,61.01160000000003,Boreal forests or taiga,1.0,51.25628149999999,600.964,416.20796000000007,28
p651585,0,2002,-144.09760000000003,61.002680000000026,Tundra,1.0,43.559904894736846,352.0440000000001,466.42106000000007,19
p651589,0,2002,-144.7102,61.00968,Tundra,1.0,26.5625,49.784,14.86457,1
p6516,0,2010,-48.871500000000026,-27.718800000000034,Tropical moist broadleaf forests,1.0,98.97988910714287,770.30998,560.0,56
p651637,0,2002,-149.7136,61.21207000000002,Boreal forests or taiga,1.0,37.627244794117644,505.46,1057.37807,34
p651641,0,2002,-149.89220000000003,61.13247,Boreal forests or taiga,1.0,35.00837533333333,429.2600000000001,267.56226000000004,18
p651642,0,2002,-149.80470000000003,61.13020000000003,Boreal forests or taiga,1.0,57.03797161111113,300.7360000000001,267.56226000000004,18
p6518,0,2010,-48.87150000000005,-27.718800000000034,Tropical moist broadleaf forests,1.0,91.200526,951.1099499999997,600.0,60
p65189,0,2011,10.210000000000004,63.77700000000002,Boreal forests or taiga,1.0,64.70588235294117,334.00000000000006,680.0,17
p652,0,1998,-61.86556,-16.70139,Tropical dry broadleaf forests,1.0,58.873872600000006,110.0,100.0,5
p6520,0,2010,-48.87150000000007,-27.718800000000037,Tropical moist broadleaf forests,0.9710144927536232,80.94767597014925,1275.46766,690.0,69
p652159,0,1989,-75.72185999999998,41.00009,Temperate broadleaf forests,1.0,2.6479755555555555,226.568,121.79692299999998,9
p6522,0,2010,-48.87150000000013,-27.718800000000073,Tropical moist broadleaf forests,1.0,93.06925377049178,1670.49046,1220.0,122
p652274,0,1989,-75.52743000000007,40.000109999999964,Temperate broadleaf forests,1.0,5.573318837209302,1083.818,889.3972689999998,43
p652502,0,1989,-76.41634,40.94452999999999,Temperate broadleaf forests,1.0,6.879425083333326,635.2539999999998,460.411933,24
p6528,0,2007,107.43919999999996,15.91471000000001,Tropical moist broadleaf forests,0.7692307692307693,90.0,654.0,528.0217799999998,26
p652960,0,1989,-78.11084000000002,40.05564000000001,Temperate broadleaf forests,1.0,9.2111853,569.722,279.159638,20
p652961,0,1989,-78.11084000000005,40.05564000000001,Temperate broadleaf forests,1.0,1.9737098590909092,755.6500000000002,213.46382799999998,22
p652980,0,1989,-80.30533999999993,39.94452,Temperate broadleaf forests,1.0,9.011852518518513,628.6500000000002,934.9756890000001,27
p653,0,2015,-52.939129999999615,5.258589000000021,Tropical moist broadleaf forests,0.9385964912280702,96.46581553271031,12154.76,570.0,570
p6533,0,1994,151.03059999999937,-27.809710000000067,Tropical grasslands,1.0,99.686940872093,3410.5,425.30887199999995,172
p653316,0,1989,-75.80519000000002,41.16674999999999,Temperate broadleaf forests,1.0,5.4000980625,553.9739999999998,189.629802,16
p653360,0,1989,-75.83296999999995,41.11118999999999,Temperate broadleaf forests,1.0,5.904794703703704,725.678,361.885636,27
p653370,0,1989,-77.08302000000002,41.38896,Temperate broadleaf forests,1.0,22.052045950943388,1435.862,491.84739800000017,53
p6534,0,2006,-66.23083999999997,-17.284799999999994,Tropical dry broadleaf forests,1.0,88.88888999999998,378.0,525.3623200000002,14
p653469,0,1989,-78.80530999999992,41.7778400000001,Temperate broadleaf forests,1.0,35.66026660204082,1987.8039999999999,1288.3141200000002,98
p653504,0,1989,-78.80530999999998,41.777840000000005,Temperate broadleaf forests,1.0,3.1986529999999997,551.6879999999999,454.54592,19
p6536,0,2010,-48.77999999999999,-27.72000000000001,Tropical moist broadleaf forests,1.0,99.40178235294115,265.15214000000003,170.0,17
